Die	O
Zustimmung	O
für	O
Bernie	PERSON
Sanders	PERSON
macht	O
Clinton	PERSON
nervös	O
.	O
In	O
der	O
letzten	O
TV-Debatte	O
der	O
Demokraten	O
vor	O
den	O
US-Vorwahlen	O
versuchte	O
sie	O
nun	O
,	O
ihn	O
beim	O
Thema	O
Waffen	O
zu	O
packen	O
.	O
Wenn	O
es	O
um	O
die	O
Flüchtlingspolitik	O
geht	O
,	O
dann	O
wird	O
der	O
Ton	O
in	O
der	O
großen	O
Koalition	O
zunehmend	O
rauer	O
.	O
Ex-CSU-Chef	O
Stoiber	PERSON
setzt	O
Kanzlerin	PERSON
Merkel	PERSON
eine	O
Frist	O
bis	O
Ende	O
März	O
.	O
Bis	O
dahin	O
müsse	O
eine	O
Lösung	O
in	O
der	O
Flüchtlingskrise	O
her	O
.	O
SPD-Chef	O
Sigmar	PERSON
Gabriel	PERSON
erhöht	O
den	O
Druck	O
auf	O
Marokko	ORT
und	O
Algerien	ORT
:	O
Diese	O
Herkunftsländer	O
müssen	O
abgelehnte	O
Asylbewerber	O
zurücknehmen	O
,	O
sonst	O
drohe	O
eine	O
Kürzung	O
der	O
Entwicklungshilfe	O
.	O
In	O
eine	O
Asylbewerberunterkunft	O
in	O
Gescher	ORT
sind	O
am	O
Sonntag	O
Unbekannte	O
eingedrungen	O
.	O
In	O
einer	O
Küche	O
zündeteten	O
die	O
Täter	O
eine	O
Feuerwerksbatterie	O
,	O
wie	O
Staatsanwaltschaft	ORGANISATION
und	O
Polizei	ORGANISATION
am	O
Montag	O
bekannt	O
gaben	O
.	O
Indien	ORT
ist	O
ein	O
Staat	O
in	O
Südasien	ORT
,	O
der	O
den	O
größten	O
Teil	O
des	O
indischen	ORT
Subkontinents	ORT
umfasst	O
.	O
Der	O
Himalaya	ORT
bildet	O
die	O
natürliche	O
Nordgrenze	O
Indiens	ORT
,	O
im	O
Süden	O
umschließt	O
der	O
Indische	ORT
Ozean	ORT
das	O
Staatsgebiet	O
.	O
Die	O
Quarterback-Legenden	O
treffen	O
aufeinander	O
:	O
Tom	PERSON
Brady	PERSON
und	O
seine	O
New	ORGANISATION
England	ORGANISATION
Patriots	ORGANISATION
werden	O
im	O
NFL-Halbfinale	O
von	O
Peyton	PERSON
Manning	PERSON
und	O
den	O
Denver	ORGANISATION
Broncos	ORGANISATION
herausgefordert	O
.	O
Arizona	O
und	O
Carolina	O
spielen	O
den	O
zweiten	O
Finalisten	O
aus	O
.	O
Die	O
Drehs	O
in	O
New	ORT
York	ORT
waren	O
fantastisch	O
,	O
mit	O
Ursula	PERSON
Karven	PERSON
verstehe	O
ich	O
mich	O
großartig	O
.	O
Synth-Rock	O
präsentierte	O
die	O
aus	O
Münster	ORT
stammende	O
Band	O
„	O
The	ORGANISATION
Late	ORGANISATION
Night	ORGANISATION
Call	ORGANISATION
``	O
bei	O
der	O
ersten	O
New-Names-Ausgabe	O
im	O
neuen	O
Jahr	O
im	O
Jovel	ORT
.	O
Ende	O
April	O
nimmt	O
Kasper	PERSON
Rorsted	PERSON
bei	O
Henkel	ORGANISATION
seinen	O
Abschied	O
,	O
``	O
auf	O
eigenen	O
Wunsch	O
''	O
,	O
wie	O
es	O
heißt	O
.	O
Der	O
ehemalige	O
CDU-Spitzenpolitiker	O
Merz	PERSON
wechselt	O
zur	O
Deutschlandtochter	O
des	O
US-Vermögensverwalters	O
Blackrock	O
.	O
Kristina	PERSON
Strake	PERSON
von	O
Hersteller	O
Otten	ORGANISATION
aus	O
Lippstadt	ORT
präsentiert	O
ein	O
Bett	O
in	O
Strandkorb-Optik	O
.	O
Der	O
Finanz-Unternehmer	O
Carsten	PERSON
Maschmeyer	PERSON
-LRB-	O
56	O
-RRB-	O
wird	O
Juror	O
in	O
der	O
Vox-Show	O
„	O
Die	O
Höhle	O
der	O
Löwen	O
``	O
.	O
Was	O
haben	O
Jürgen	PERSON
Klopp	PERSON
-LRB-	O
48	O
-RRB-	O
,	O
Wayne	PERSON
Rooney	PERSON
-LRB-	O
30	O
-RRB-	O
,	O
Benedikt	PERSON
Höwedes	PERSON
-LRB-	O
27	O
-RRB-	O
und	O
Kim	PERSON
Gloss	PERSON
-LRB-	O
23	O
-RRB-	O
gemeinsam	O
?	O
Die	O
Weltgesundheitsorganisation	ORGANISATION
WHO	ORGANISATION
hatte	O
Westafrika	ORT
am	O
Donnerstag	O
als	O
von	O
Ebola	O
befreit	O
erklärt	O
.	O
In	O
Honduras	ORT
haben	O
Archäologen	O
Überbleibsel	O
einer	O
Siedlung	O
aus	O
der	O
Zeit	O
vor	O
der	O
Entdeckung	O
Amerikas	ORT
durch	O
Kolumbus	PERSON
ausgegraben	O
.	O
Nach	O
rund	O
einem	O
Jahrzehnt	O
fallen	O
die	O
westlichen	O
Strafmaßnahmen	O
gegen	O
den	O
Iran	ORT
-	O
auch	O
deutsche	O
Unternehmen	O
wollen	O
davon	O
profitieren	O
-	O
allen	O
voran	O
der	O
Stuttgarter	O
Autobauer	O
.	O
Hollywoodstar	O
Leonardo	PERSON
DiCaprio	PERSON
hat	O
noch	O
nie	O
einen	O
Oscar	O
gewonnen	O
.	O
Eine	O
im	O
Cospudener	ORT
See	ORT
südlich	O
von	O
Leipzig	ORT
entdeckte	O
Wasserleiche	O
sorgt	O
für	O
Spekulationen	O
.	O
Die	O
Linksfraktion	ORGANISATION
im	O
Leipziger	ORGANISATION
Stadtrat	ORGANISATION
ist	O
aufs	O
Höchste	O
besorgt	O
.	O
Winterliches	O
Familienglück	O
im	O
Leipziger	ORGANISATION
Zoo	ORGANISATION
:	O
Tüpfelhyänen-Weibchen	O
Dara	O
hat	O
vor	O
zwölf	O
Tagen	O
zwei	O
Jungtiere	O
zur	O
Welt	O
gebracht	O
.	O
Einer	O
Studie	O
der	O
Hilfsorganisation	O
Oxfam	ORGANISATION
zufolge	O
ist	O
das	O
Vermögen	O
der	O
Superreichen	O
in	O
den	O
vergangenen	O
Jahren	O
um	O
44	O
Prozent	O
gestiegen	O
.	O
Vollmundig	O
hatte	O
Andrea	PERSON
Nahles	PERSON
einst	O
der	O
Langzeitarbeitslosigkeit	O
den	O
Kampf	O
erklärt	O
.	O
Rechtsextremisten	O
behaupten	O
wie	O
einst	O
die	O
SED	ORGANISATION
,	O
in	O
Magdeburg	ORT
seien	O
am	O
16	O
.	O
Januar	O
1945	O
bis	O
zu	O
16.000	O
Menschen	O
durch	O
Bomben	O
ums	O
Leben	O
gekommen	O
.	O
Diese	O
Zahl	O
erschien	O
übrigens	O
schon	O
Goebbels	PERSON
als	O
zu	O
niedrig	O
.	O
Auch	O
sein	O
Erster	O
Minister	O
Thomas	PERSON
Cromwell	PERSON
landete	O
auf	O
dem	O
Schafott	O
.	O
Im	O
England	ORT
Heinrichs	PERSON
VIII	PERSON
.	O
bedeutete	O
das	O
Vertrauen	O
des	O
Monarchen	O
alles	O
.	O
Ein	O
``	O
New	ORGANISATION
York	ORGANISATION
Times	ORGANISATION
''	O
-	O
Gastautor	O
fordert	O
den	O
Rückzug	O
der	O
Kanzlerin	PERSON
.	O
In	O
Nordamerika	ORT
fließt	O
viel	O
Kapital	O
in	O
Unternehmen	O
,	O
die	O
an	O
neuer	O
Atomkraft-Technik	O
arbeiten	O
--	O
allerdings	O
geht	O
es	O
dabei	O
meistens	O
um	O
Kernfusion	O
.	O
Erkrankungen	O
mit	O
dem	O
Dengue	O
-	O
und	O
dem	O
Zikavirus	O
sind	O
in	O
Brasilien	ORT
und	O
Kolumbien	ORT
teilweise	O
dramatisch	O
angestiegen	O
.	O
Die	O
Café	O
-	O
und	O
Ladenbesitzer	O
im	O
walisischen	ORT
Crickhowell	ORT
haben	O
die	O
Nase	O
voll	O
von	O
der	O
Steuervermeidung	O
großer	O
Konzerne	O
.	O
Als	O
Kind	O
liebte	O
Jimmy	PERSON
Wales	PERSON
Lexika	O
,	O
als	O
Erwachsener	O
gründete	O
er	O
mit	O
einem	O
Partner	O
vor	O
15	O
Jahren	O
Wikipedia	ORGANISATION
.	O
30	O
Mitglieder	O
begrüßte	O
Vorsitzender	O
Jürgen	PERSON
Klähn	PERSON
zur	O
Jahresversammlung	O
der	O
Tennisabteilung	O
im	O
TuS	ORGANISATION
Lotte	ORGANISATION
.	O
Die	O
Polizei	ORGANISATION
von	O
Beverly	ORT
Hills	ORT
hat	O
einen	O
Haftbefehl	O
gegen	O
die	O
Schauspielerin	O
Lindsay	PERSON
Lohan	PERSON
erlassen	O
.	O
In	O
Schlesien	ORT
in	O
Polen	ORT
ist	O
Wintersport	O
weiter	O
möglich	O
.	O
Der	O
César	O
gilt	O
in	O
Frankreich	ORT
als	O
Pendant	O
zum	O
weltweit	O
wichtigsten	O
Filmpreis	O
,	O
dem	O
Oscar	O
.	O
Also	O
lieber	O
Produkte	O
aus	O
Frankreich	ORT
oder	O
Italien	ORT
nehmen	O
als	O
aus	O
China	ORT
oder	O
Neuseeland	ORT
.	O
Pratheep	PERSON
dankte	O
allen	O
Menschen	O
,	O
die	O
ihn	O
in	O
seinem	O
Leben	O
inspiriert	O
und	O
gefördert	O
haben	O
.	O
Sybille	PERSON
Koch	PERSON
wird	O
die	O
Kurse	O
leiten	O
.	O
Haben	O
Sie	O
mit	O
Vogl	PERSON
schon	O
Wetten	O
fürs	O
Spiel	O
abgeschlossen	O
?	O
Der	O
Fall	O
Aschtiani	PERSON
hat	O
weltweit	O
für	O
Aufsehen	O
gesorgt	O
.	O
Microsoft	ORGANISATION
hat	O
ebenso	O
wie	O
der	O
der	O
weltgrößte	O
Handyhersteller	O
Nokia	ORGANISATION
den	O
Trend	O
zu	O
Smartphones	O
verschlafen	O
.	O
Nokia	ORGANISATION
ist	O
der	O
Anbieter	O
von	O
Endgeräten	O
,	O
Lösungen	O
und	O
Services	O
für	O
Mobilfunkbetreiber	O
und	O
Unternehmen	O
.	O
Pfarrer	PERSON
Ulrich	PERSON
Klink	PERSON
hatte	O
Mühe	O
,	O
alle	O
Teilnehmer	O
in	O
der	O
Stadtkirche	O
unter	O
zu	O
bringen	O
.	O
Die	O
Evangelische	ORGANISATION
Kirche	ORGANISATION
in	O
Mitteldeutschland	ORT
lädt	O
zu	O
einem	O
zentralen	O
Friedensgebet	O
in	O
die	O
Stadtkirche	O
in	O
Ranis	ORT
.	O
Zugleich	O
kündigte	O
der	O
Verband	ORGANISATION
öffentlicher	ORGANISATION
Verkehr	ORGANISATION
-LRB-	ORGANISATION
VöV	ORGANISATION
-RRB-	ORGANISATION
auf	O
den	O
nächsten	O
Fahrplanwechsel	O
im	O
Dezember	O
eine	O
definitive	O
Regelung	O
an	O
.	O
Das	O
waren	O
auch	O
die	O
Verlierer	O
,	O
das	O
Team	O
der	O
alten	O
Straßburger	ORGANISATION
Burschenschaft	ORGANISATION
Germania	ORGANISATION
.	O
Herr	PERSON
Krumbiegel	PERSON
haben	O
sie	O
als	O
Musiker	O
der	O
DDR	O
Erfahrungen	O
mit	O
Zensur	O
oder	O
Verbot	O
ihrer	O
Lieder	O
gemacht	O
?	O
Die	ORGANISATION
Grünen	ORGANISATION
forderten	O
Rüttgers	PERSON
bereits	O
auf	O
,	O
eine	O
Frau	O
als	O
Verkehrsministerin	O
zu	O
ernennen	O
.	O
Die	O
Idee	O
einer	O
Kooperation	O
mit	O
Juventus	ORGANISATION
Sao	ORGANISATION
Paulo	ORGANISATION
stößt	O
beim	O
Wacker	ORGANISATION
auf	O
offene	O
Ohren	O
.	O
Der	O
geht	O
,	O
bei	O
aller	O
Loyalität	O
,	O
eher	O
auf	O
persönliche	O
Distanz	O
zum	O
Statthalter	O
Moskaus	ORT
im	O
Kaukasus	ORT
.	O
Für	O
ihre	O
Söhne	O
wünscht	O
sich	O
Arzu	PERSON
,	O
die	O
selbst	O
keinen	O
Beruf	O
erlernt	O
hat	O
,	O
einen	O
guten	O
Job	O
.	O
Direkt	O
dahinter	O
rangiert	O
der	O
TuS	ORGANISATION
Brockhagen	ORGANISATION
mit	O
nur	O
einer	O
Niederlage	O
.	O
Margot	PERSON
Käßmann	PERSON
ist	O
von	O
Hannover	ORT
nach	O
Berlin	ORT
umgezogen	O
.	O
Das	O
erste	O
von	O
Barbara	PERSON
Tuchman	PERSON
geforderte	O
Kriterium	O
ist	O
damit	O
erfüllt	O
.	O
Das	O
Ende	O
von	O
Guantánamo	ORT
war	O
eines	O
der	O
zentralen	O
Wahlversprechen	O
Obamas	PERSON
.	O
Riesch	PERSON
war	O
im	O
Riesenslalom	O
zuvor	O
nur	O
einmal	O
Zweite	O
geworden	O
,	O
Anfang	O
des	O
Jahres	O
in	O
Maribor	ORT
.	O
Seit	O
vierzig	O
Jahren	O
steht	O
Peter	PERSON
Maffay	PERSON
auf	O
der	O
Bühne	O
.	O
Rüdiger	PERSON
Burbach	PERSON
bringt	O
grosse	O
Literatur	O
ins	O
Theater	ORT
Kanton	ORT
Zürich	ORT
.	O
Mit	O
einem	O
bunten	O
Feuerwerk	O
wird	O
das	O
Cottbuser	O
Stadtfest	O
am	O
Sonntag	O
ausklingen	O
.	O
Die	O
drei	O
flohen	O
daraufhin	O
über	O
Hong	ORT
Kong	ORT
und	O
Kanada	ORT
in	O
die	O
Vereinigten	ORT
Staaten	ORT
.	O
Einziger	O
Hoffnungsträger	O
bleibt	O
so	O
Massa	PERSON
,	O
der	O
in	O
Shanghai	ORT
bis	O
zum	O
Ausfall	O
seines	O
Autos	O
grandios	O
aufgeholt	O
hatte	O
.	O
Laut	O
Iseli	PERSON
hat	O
der	O
Kanton	O
inzwischen	O
auch	O
mit	O
dem	O
Bieler	ORGANISATION
Gemeinderat	ORGANISATION
Kontakt	O
in	O
Sachen	O
Expo	ORGANISATION
aufgenommen	O
.	O
Hamdani	PERSON
konnte	O
Libyen	ORT
Ende	O
Februar	O
verlassen	O
.	O
Eine	O
kurzfristige	O
Lösung	O
kann	O
auch	O
Grube	PERSON
nicht	O
bieten	O
.	O
Microsoft	ORGANISATION
und	O
Facebook	ORGANISATION
wollen	O
die	O
Suche	O
im	O
Internet	O
mit	O
den	O
Möglichkeiten	O
von	O
Online-Netzwerken	O
ergänzen	O
.	O
Der	O
Zauberer	O
Obama	PERSON
wird	O
das	O
Unmögliche	O
möglich	O
machen	O
,	O
mehr	O
Kosten	O
und	O
tiefere	O
Steuern	O
.	O
Dr.	PERSON
Heilmann	PERSON
muss	O
ihn	O
sofort	O
operieren	O
.	O
Am	O
Dienstag	O
wird	O
die	O
21-Jährige	O
in	O
München	ORT
bei	O
Knie-Experten	O
Dr.	PERSON
Ernst-Otto	PERSON
Münch	PERSON
operiert	O
.	O
Einer	O
der	O
Lehrer	O
,	O
Tilo	PERSON
Böttcher	PERSON
,	O
erzählte	O
,	O
wie	O
er	O
damals	O
im	O
Osten	ORT
den	O
Mauerfall	O
erlebte	O
.	O
Auf	O
der	O
Celler	ORT
Straße	ORT
geht	O
es	O
nur	O
ganz	O
langsam	O
voran	O
.	O
Tausende	O
Menschen	O
begrüßten	O
es	O
in	O
der	O
tschechischen	O
Stadt	O
Budweis	ORT
als	O
Sinnbild	O
der	O
neuen	O
Nachbarschaft	O
.	O
Das	O
sagte	O
am	O
Mittwoch	O
Außenminister	O
Karel	PERSON
Schwarzenberg	PERSON
vor	O
Journalisten	O
.	O
Der	O
tschechische	O
Premier	O
Jan	PERSON
Fischer	PERSON
wird	O
zu	O
einem	O
Arbeitsbesuch	O
in	O
Israel	ORT
erwartet	O
.	O
Mit	O
Dankesworten	O
an	O
die	O
Sponsoren	O
lädt	O
Lukas	PERSON
Leuenberger	PERSON
das	O
Publikum	O
ins	O
Restaurant	O
ein	O
.	O
Heiner	PERSON
wird	O
die	O
richtigen	O
Worte	O
finden	O
und	O
die	O
Spieler	O
in	O
Einzelgesprächen	O
aufbauen	O
.	O
Max	PERSON
hatte	O
ihn	O
,	O
wie	O
einst	O
auch	O
seine	O
vierjährige	O
Schwester	O
Elisa	PERSON
,	O
zur	O
Geburt	O
bekommen	O
.	O
Der	O
Frankfurter	ORT
Flughafen	ORT
hat	O
am	O
Wochenende	O
noch	O
eine	O
weitere	O
Völkerwanderung	O
überstanden	O
.	O
Miguel	PERSON
Juan	PERSON
Sebastián	PERSON
Piñera	PERSON
Echeñique	PERSON
ist	O
am	O
1	O
.	O
Dezember	O
1949	O
geboren	O
und	O
studierte	O
Wirtschaftswissenschaften	O
an	O
der	O
Pontificia	ORGANISATION
Universidad	ORGANISATION
Católica	ORGANISATION
de	ORGANISATION
Chile	ORGANISATION
-LRB-	O
PUC	ORGANISATION
-RRB-	O
,	O
der	O
römisch-katholischen	O
Universität	O
des	O
päpstlichen	O
Rechtes	O
in	O
Santiago	ORT
de	ORT
Chile	ORT
.	O
Nun	O
soll	O
Williams	PERSON
sogar	O
in	O
der	O
Today	O
Show	O
von	O
NBC	ORGANISATION
auftreten	O
.	O
In	O
den	O
letzen	O
Wochen	O
tourt	O
Aguilera	PERSON
durch	O
Asien	ORT
,	O
Australien	ORT
und	O
Neuseeland	ORT
.	O
700	O
Millionen	O
Franken	O
wird	O
das	O
Debakel	O
im	O
Ganzen	O
kosten	O
.	O
Durch	O
einen	O
ähnlichen	O
Tunnel	O
war	O
vor	O
drei	O
Jahren	O
der	O
israelische	O
Soldat	O
Gilad	PERSON
Schalit	PERSON
in	O
den	O
Gazastreifen	ORT
verschleppt	O
worden	O
.	O
Es	O
war	O
bis	O
in	O
Taiwans	O
Hauptstadt	O
Taipeh	ORT
spürbar	O
,	O
Schäden	O
wurden	O
zunächst	O
nicht	O
gemeldet	O
.	O
Die	O
Junge	ORGANISATION
Union	ORGANISATION
und	O
die	O
Jungen	ORGANISATION
Liberalen	ORGANISATION
im	O
Kreis	ORT
Reutlingen	ORT
haben	O
das	O
Bündnis	O
jüngst	O
ins	O
Leben	O
gerufen	O
.	O
Die	O
interessanteste	O
Wahl	O
könnte	O
für	O
die	O
CDU	ORGANISATION
Baden-Württemberg	ORT
werden	O
.	O
Die	O
Deutsche	ORGANISATION
Bahn	ORGANISATION
AG	ORGANISATION
hat	O
Probleme	O
mit	O
ihren	O
Zügen	O
.	O
Diese	O
Ansicht	O
vertritt	O
eine	O
Forschergruppe	O
nach	O
einer	O
Konferenz	O
an	O
der	O
ETH	ORGANISATION
Zürich	ORGANISATION
.	O
Aber	O
die	O
Kanadier	O
sind	O
offen	O
,	O
entspannt	O
und	O
ungemein	O
höflich	O
und	O
tolerant	O
.	O
Da	O
sind	O
die	O
Schweizer	O
Gerichte	O
wirklich	O
zu	O
lasch	O
.	O
Hinzu	O
kommen	O
die	O
geografischen	O
Namen	O
wie	O
Vereinigte	ORT
Staaten	ORT
von	ORT
Amerika	ORT
,	O
Unter	ORT
den	ORT
Linden	ORT
,	O
Neuer	ORT
Markt	ORT
,	O
Hohe	ORT
Tatra	ORT
,	O
Sächsische	ORT
Schweiz	ORT
oder	O
Kap	ORT
der	ORT
Guten	ORT
Hoffnung	ORT
.	O
Noch	O
einmal	O
muss	O
Kohr	PERSON
nach	O
Salzburg	ORT
,	O
um	O
sein	O
Visum	O
für	O
die	O
Emigration	O
nach	O
New	ORT
York	ORT
,	O
Vereinigte	ORT
Staaten	ORT
von	ORT
Amerika	ORT
,	O
zu	O
erhalten	O
und	O
nur	O
mit	O
Mühe	O
kann	O
er	O
nach	O
Paris	ORT
zurück	O
kehren	O
.	O
Was	O
kann	O
Berlin	ORT
tun	O
,	O
um	O
diese	O
Entwicklung	O
abzufedern	O
?	O
Offiziell	O
zahlt	O
Italien	ORT
kein	O
Lösegeld	O
.	O
Ohne	O
Kurden	O
und	O
Sunniten	O
können	O
die	O
Schiiten	O
keine	O
Regierung	O
bilden	O
.	O
Manfred	PERSON
Bachmann	PERSON
ist	O
mit	O
Gertrude	PERSON
verheiratet	O
und	O
mit	O
Sonja	PERSON
und	O
Florian	PERSON
Vater	O
zweier	O
Kinder	O
.	O
Nun	O
liegt	O
es	O
an	O
Matthias	PERSON
Platzeck	PERSON
.	O
Hier	O
soll	O
Abraham	PERSON
das	O
gelobte	O
Land	O
betreten	O
haben	O
.	O
Köhler	PERSON
und	O
die	O
Gesellschafter	O
der	O
eingegangenen	O
Werft	O
haben	O
keine	O
guten	O
Worte	O
mehr	O
füreinander	O
.	O
